;Championship for Drivers;;Championship for Manufacturers;
Season;Driver;Car;Manufacturer;Car
2019;Ott Tänak;Toyota Yaris WRC;Hyundai;Hyundai i20 Coupe WRC
2018;Sébastien Ogier;Ford Fiesta WRC;Toyota;Toyota Yaris WRC
2017;Sébastien Ogier;Ford Fiesta WRC;M-Sport (Ford)[a][b];Ford Fiesta WRC
2016;Sébastien Ogier;Volkswagen Polo R WRC;Volkswagen;Volkswagen Polo R WRC
2015;Sébastien Ogier;Volkswagen Polo R WRC;Volkswagen;Volkswagen Polo R WRC
2014;Sébastien Ogier;Volkswagen Polo R WRC;Volkswagen;Volkswagen Polo R WRC
2013;Sébastien Ogier;Volkswagen Polo R WRC;Volkswagen;Volkswagen Polo R WRC
2012;Sébastien Loeb;Citroën DS3 WRC;Citroën;Citroën DS3 WRC
2011;Sébastien Loeb;Citroën DS3 WRC;Citroën;Citroën DS3 WRC
2010;Sébastien Loeb;Citroën C4 WRC;Citroën;Citroën C4 WRC
2009;Sébastien Loeb;Citroën C4 WRC;Citroën;Citroën C4 WRC
2008;Sébastien Loeb;Citroën C4 WRC;Citroën;Citroën C4 WRC
2007;Sébastien Loeb;Citroën C4 WRC;Ford[b];Ford Focus RS WRC 06/07
2006;Sébastien Loeb;Citroën Xsara WRC;Ford[b];Ford Focus RS WRC 06
2005;Sébastien Loeb;Citroën Xsara WRC;Citroën;Citroën Xsara WRC
2004;Sébastien Loeb;Citroën Xsara WRC;Citroën;Citroën Xsara WRC
2003;Petter Solberg;Subaru Impreza WRC 2003;Citroën;Citroën Xsara WRC
2002;Marcus Grönholm;Peugeot 206 WRC;Peugeot;Peugeot 206 WRC
2001;Richard Burns;Subaru Impreza WRC 2001;Peugeot;Peugeot 206 WRC
2000;Marcus Grönholm;Peugeot 206 WRC;Peugeot;Peugeot 206 WRC
1999;Tommi Mäkinen;Mitsubishi Lancer Evolution VI;Toyota;Toyota Corolla WRC
1998;Tommi Mäkinen;Mitsubishi Lancer Evolution V;Mitsubishi;Mitsubishi Lancer Evolution V
1997;Tommi Mäkinen;Mitsubishi Lancer Evolution IV;Subaru;Subaru Impreza WRC
1996;Tommi Mäkinen;Mitsubishi Lancer Evolution III;Subaru;Subaru Impreza 555
1995;Colin McRae;Subaru Impreza 555;Subaru;Subaru Impreza 555
1994;Didier Auriol;Toyota Celica Turbo 4WD;Toyota;Toyota Celica Turbo 4WD
1993;Juha Kankkunen;Toyota Celica Turbo 4WD;Toyota;Toyota Celica Turbo 4WD
1992;Carlos Sainz;Toyota Celica Turbo 4WD;Lancia;Lancia Delta HF Integrale
1991;Juha Kankkunen;Lancia Delta Integrale 16V;Lancia;Lancia Delta Integrale 16V
1990;Carlos Sainz;Toyota Celica GT-Four;Lancia;Lancia Delta Integrale 16V
1989;Miki Biasion;Lancia Delta Integrale;Lancia;Lancia Delta Integrale
1988;Miki Biasion;Lancia Delta Integrale;Lancia;Lancia Delta Integrale
1987;Juha Kankkunen;Lancia Delta HF 4WD;Lancia;Lancia Delta HF 4WD
1986;Juha Kankkunen;Peugeot 205 Turbo 16 E2;Peugeot;Peugeot 205 Turbo 16 E2
1985;Timo Salonen;Peugeot 205 Turbo 16;Peugeot;Peugeot 205 Turbo 16
1984;Stig Blomqvist;Audi Quattro;Audi;Audi Quattro
1983;Hannu Mikkola;Audi Quattro;Lancia;Lancia Rally 037
1982;Walter Röhrl;Opel Ascona 400;Audi;Audi Quattro
1981;Ari Vatanen;Ford Escort RS1800;Talbot;Talbot Sunbeam Lotus
1980;Walter Röhrl;Fiat 131 Abarth;Fiat;Fiat 131 Abarth
1979;Björn Waldegård;Ford Escort RS1800[c];Ford;Ford Escort RS1800
1978;Markku Alén[d];Fiat 131 Abarth[e];Fiat;Fiat 131 Abarth
1977;Sandro Munari[d];Lancia Stratos HF;Fiat;Fiat 131 Abarth
1976;No drivers' championship[f];No drivers' championship[f];Lancia;Lancia Stratos HF
1975;No drivers' championship[f];No drivers' championship[f];Lancia;Lancia Stratos HF
1974;No drivers' championship[f];No drivers' championship[f];Lancia;Lancia Stratos HF
1973;No drivers' championship[f];No drivers' championship[f];Alpine-Renault;Alpine-Renault A110
